"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
407, 1.032677833670750e+00, 0.000000000000000e+00, -1.013596050480549e-01, 1.088990045394166e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.107456977683795e+05, 0.000000000000000e+00, 8.429827910735180e+04, 2.696653487251622e+02, 0.000000000000000e+00, -8.025241698453152e+00, 1.698700849215357e-05, 2.403441802890387e+01, -5.379296974852561e-04, -4.446427200436805e+01, 5.294987094922083e+02, 4.724746550361405e+00, 0.000000000000000e+00
408, 1.033449399621490e+00, 0.000000000000000e+00, -1.021851320226454e-01, 1.088758907296460e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.106823314703415e+05, 0.000000000000000e+00, 8.427293258813657e+04, 2.696414980655147e+02, 0.000000000000000e+00, -8.033567145824446e+00, 1.698582083777542e-05, 2.386666454547756e+01, -5.385026261734917e-04, -4.442559352162400e+01, 5.340955626912857e+02, 4.718702802087786e+00, 0.000000000000000e+00
409, 1.034219562284659e+00, 0.000000000000000e+00, -1.030119616028581e-01, 1.088518998660463e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.106165728258232e+05, 0.000000000000000e+00, 8.424662913032927e+04, 2.696167471544147e+02, 0.000000000000000e+00, -8.042206914141275e+00, 1.698458830273668e-05, 2.369226237637670e+01, -5.390974477487221e-04, -4.438477377813855e+01, 5.388424251852971e+02, 4.712401634942121e+00, 0.000000000000000e+00
410, 1.034988267000303e+00, 0.000000000000000e+00, -1.038401502567104e-01, 1.088270138996804e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.105483682788056e+05, 0.000000000000000e+00, 8.421934731152223e+04, 2.695910709353103e+02, 0.000000000000000e+00, -8.051168039917259e+00, 1.698330963338854e-05, 2.351104750995318e+01, -5.397145436044325e-04, -4.434169867116618e+01, 5.437573883888562e+02, 4.705834606628979e+00, 0.000000000000000e+00
411, 1.035755452011564e+00, 0.000000000000000e+00, -1.046697468557348e-01, 1.088012392240282e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.104777348683559e+05, 0.000000000000000e+00, 8.419109394734234e+04, 2.695644741215478e+02, 0.000000000000000e+00, -8.060448284456726e+00, 1.698198505827385e-05, 2.332303487014606e+01, -5.403536811557290e-04, -4.429629557515400e+01, 5.488446628864416e+02, 4.698999829852043e+00, 0.000000000000000e+00
412, 1.036521056994119e+00, 0.000000000000000e+00, -1.055008018118082e-01, 1.087745841743272e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.104046960892441e+05, 0.000000000000000e+00, 8.416187843569761e+04, 2.695369648503371e+02, 0.000000000000000e+00, -8.070044560874726e+00, 1.698061497628355e-05, 2.312824925763122e+01, -5.410146568708034e-04, -4.424849044849930e+01, 5.541027375133900e+02, 4.691895662274229e+00, 0.000000000000000e+00
413, 1.037285023226441e+00, 0.000000000000000e+00, -1.063333672925720e-01, 1.087470572661324e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.103292760499355e+05, 0.000000000000000e+00, 8.413171041997417e+04, 2.695085515701923e+02, 0.000000000000000e+00, -8.079953701655320e+00, 1.697919980167209e-05, 2.292671777896750e+01, -5.416972288429093e-04, -4.419820754544885e+01, 5.595300579411787e+02, 4.684520440607689e+00, 0.000000000000000e+00
414, 1.038047282694759e+00, 0.000000000000000e+00, -1.071674853112975e-01, 1.087186675601608e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.102515003288682e+05, 0.000000000000000e+00, 8.410060013154728e+04, 2.694792432360878e+02, 0.000000000000000e+00, -8.090172346148648e+00, 1.697773997378853e-05, 2.271846809020186e+01, -5.424011990724983e-04, -4.414536686805263e+01, 5.651241705622976e+02, 4.676872356909839e+00, 0.000000000000000e+00
415, 1.038807783851568e+00, 0.000000000000000e+00, -1.080032158780190e-01, 1.086894246628414e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.101713959760546e+05, 0.000000000000000e+00, 8.406855839042181e+04, 2.694490493129678e+02, 0.000000000000000e+00, -8.100696940360558e+00, 1.697623595726456e-05, 2.250353111659870e+01, -5.431263291364839e-04, -4.408988766461984e+01, 5.708830263073253e+02, 4.668949633994663e+00, 0.000000000000000e+00
416, 1.039566459256269e+00, 0.000000000000000e+00, -1.088406015945024e-01, 1.086593378487616e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.100889892711501e+05, 0.000000000000000e+00, 8.403559570846005e+04, 2.694179790795015e+02, 0.000000000000000e+00, -8.111524031510980e+00, 1.697468820734413e-05, 2.228193804175900e+01, -5.438723529669191e-04, -4.403168598184144e+01, 5.768048768619352e+02, 4.660750362866156e+00, 0.000000000000000e+00
